Duration,ID,Consent,Gender,Age,Residency,Ethnicity,Sexuality,Vic_known,False_acc,Verdict,Likert_verdict,Confidence,Sentence,Credibility,Responsibility,Empathy,SA1,SA2,SA3,SA4,SA5,SA6,MT1,MT2,MT3,F1,MT4,MT5,MT6,NR1,NR2,NR3,NR4,NR5,F2,LI1,LI2,LI3,LI4,LI5,LI6,Condition
351,5ecfdf608202840701fe6502,1,2,28,28,1,1,0,1,1,7,100,4,7,1,5,1,1,1,1,1,1,4,1,1,6,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(low)
725,5f903bb26fa6180a7e21d124,1,1,30,30,1,1,1,1,1,5,54,2,6,2,3,1,1,1,3,2,3,4,3,4,7,4,1,1,1,1,1,1,2,6,2,1,1,1,4,1,Vignette(high)
182,5f05cde2f4abed083dff3c8f,1,1,21,21,1,1,2,2,1,5,56,10,5,5,4,3,2,2,5,4,3,4,5,3,6,3,4,4,3,3,3,4,4,5,4,4,3,2,6,2,Vignette(high)
503,5ae44bea04f55d0001b77470,1,2,35,35,1,2,1,1,1,7,100,10,7,1,5,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
387,6008888c32a04d3dca5cb30e,1,2,20,20,1,2,1,1,1,6,82,7,6,1,5,1,1,1,1,2,1,1,1,1,6,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
327,5ff0683d3e41f7bf7897b155,1,2,32,32,1,1,1,1,1,7,90,5,7,1,5,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(low)
633,5f594ed3fc808b1930e7b891,1,2,37,37,1,1,2,1,1,6,80,5,6,1,5,1,1,1,6,1,5,3,2,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
824,5bb7abf3c190e20001e5c2c8,1,1,65,65,1,1,2,3,0,6,100,0,6,5,5,1,1,1,1,2,5,6,6,6,7,6,1,1,1,1,1,1,1,4,4,5,5,4,5,4,Vignette(low)
364,5f078ad565f3b13b01cdc010,1,5,27,27,1,2,2,1,1,7,100,5,7,1,4,1,1,1,1,1,2,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
345,5f8ebc375fe9e604b5883297,1,2,38,38,1,1,2,1,1,6,76,9,6,5,5,1,1,1,2,1,2,1,2,1,7,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(low)
367,5b914422d048770001c1d158,1,2,50,50,1,1,1,1,1,7,90,5,7,1,5,1,1,1,1,2,5,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
468,5bb3e443951bd40001f1e0fd,1,2,57,57,1,1,1,1,1,7,90,2,7,2,4,1,1,1,1,2,1,2,1,3,6,1,1,1,2,1,1,1,4,6,1,1,1,1,1,1,Vignette(low)
570,5f2b0ad2209c1b4ba545eb57,1,2,27,27,1,2,1,1,1,6,75,4,6,1,4,1,1,2,1,5,6,6,4,2,6,1,1,1,1,1,1,1,3,7,4,4,4,2,4,1,Vignette(high)
